,"Cor(METAL,ENERGY)","Cor(METAL,AGRICULTURAL)","Cor(ENERGY,AGRICULTURAL)"
1/04/1991,0.749663,0.581151,0.169961
1/07/1991,0.744872,0.558388,0.143501
1/08/1991,0.764272,0.569073,0.202395
1/09/1991,0.754365,0.571579,0.203512
1/10/1991,0.752769,0.559925,0.200191
1/11/1991,0.751249,0.545594,0.193139
1/14/1991,0.742166,0.520184,0.196523
1/15/1991,0.717218,0.504984,0.168934
1/16/1991,0.719181,0.488044,0.162381
1/17/1991,0.708087,0.478760,0.182827
1/18/1991,0.609115,0.342605,-0.161170
1/21/1991,0.611672,0.339367,-0.144365
1/22/1991,0.610071,0.331519,-0.146876
1/23/1991,0.579579,0.330293,-0.151765
1/24/1991,0.594295,0.330737,-0.132670
1/25/1991,0.569818,0.312398,-0.128525
1/28/1991,0.553042,0.323724,-0.127373
1/29/1991,0.553615,0.320947,-0.121323
1/30/1991,0.555538,0.311882,-0.121740
1/31/1991,0.562021,0.316897,-0.108294
2/01/1991,0.563386,0.308424,-0.107101
2/04/1991,0.558896,0.304739,-0.104469
2/05/1991,0.558828,0.278721,-0.105626
2/06/1991,0.558968,0.279447,-0.099892
2/07/1991,0.549234,0.272369,-0.092208
2/08/1991,0.541639,0.237078,-0.086830
2/11/1991,0.533778,0.274759,-0.076270
2/12/1991,0.511365,0.272809,-0.075706
2/13/1991,0.508809,0.271591,-0.075705
2/14/1991,0.498320,0.280915,-0.087009
2/15/1991,0.484823,0.284576,-0.102892
2/20/1991,0.491852,0.281472,-0.091912
2/21/1991,0.488464,0.280154,-0.091550
2/22/1991,0.497602,0.295555,-0.011461
2/25/1991,0.502020,0.312549,0.003725
2/26/1991,0.502250,0.306975,0.004886
2/27/1991,0.505500,0.311291,0.019544
2/28/1991,0.515296,0.291352,0.008337
3/01/1991,0.530316,0.356628,0.052684
3/04/1991,0.528285,0.350660,0.054856
3/05/1991,0.516004,0.346222,0.059249
3/06/1991,0.508638,0.299032,0.059798
3/07/1991,0.495088,0.301602,0.042358
3/08/1991,0.481957,0.299972,0.040742
3/11/1991,0.444475,0.276319,0.042195
3/12/1991,0.452394,0.297217,0.065395
3/13/1991,0.402975,0.268746,0.092507
3/14/1991,0.426611,0.266827,0.094635
3/15/1991,0.437668,0.260560,0.091909
3/18/1991,0.390722,0.246704,0.141631
3/19/1991,0.395384,0.257366,0.146052
3/20/1991,0.405065,0.246030,0.121623
3/21/1991,0.405148,0.235708,0.107502
3/22/1991,0.407598,0.237770,0.116820
3/25/1991,0.411847,0.246900,0.135087
3/26/1991,0.422849,0.261524,0.148238
3/27/1991,0.417270,0.254323,0.150203
3/28/1991,0.416439,0.246138,0.129955
4/03/1991,0.414617,0.227000,0.126812
4/04/1991,0.403161,0.184939,0.129184
4/05/1991,0.396763,0.183281,0.113553
4/08/1991,0.391172,0.143586,0.108278
4/09/1991,0.393859,0.146443,0.112363
4/10/1991,0.387947,0.139614,0.113279
4/11/1991,0.381963,0.138228,0.099720
4/12/1991,0.379500,0.138815,0.099935
4/15/1991,0.377003,0.141090,0.114802
4/16/1991,0.356026,0.150176,0.099215
4/17/1991,0.334790,0.150647,0.092245
4/18/1991,0.332705,0.111406,0.086609
4/19/1991,0.364848,0.118312,0.095701
4/22/1991,0.365218,0.123324,0.097929
4/23/1991,0.374804,0.122661,0.096802
4/24/1991,0.372079,0.122835,0.088913
4/25/1991,0.371102,0.110226,0.081503
4/26/1991,0.353269,0.115442,0.077567
4/29/1991,0.351326,0.109825,0.078054
4/30/1991,0.347542,0.117927,0.076314
5/01/1991,0.325650,0.126923,0.065508
