,"Cor(Equation(1),Equation(2))","Cor(Equation(1),Equation(3))","Cor(Equation(2),Equation(3))"
1/03/1991,0.631220,0.512891,-0.125037
1/04/1991,0.628294,0.504599,-0.136258
1/07/1991,0.636757,0.491090,-0.143015
1/08/1991,0.598137,0.477094,-0.092094
1/09/1991,0.577834,0.468297,-0.086983
1/10/1991,0.592330,0.467968,-0.086574
1/11/1991,0.606114,0.463485,-0.084463
1/14/1991,0.611800,0.446770,-0.079755
1/15/1991,0.579917,0.434291,-0.074839
1/16/1991,0.586284,0.421013,-0.075939
1/17/1991,0.587845,0.419976,-0.059484
1/18/1991,0.423234,0.264835,-0.143427
1/21/1991,0.431373,0.266179,-0.139465
1/22/1991,0.440385,0.265278,-0.143092
1/23/1991,0.427620,0.269543,-0.147136
1/24/1991,0.431311,0.269442,-0.139557
1/25/1991,0.382875,0.237787,-0.140822
1/28/1991,0.372487,0.248821,-0.142334
1/29/1991,0.382823,0.252469,-0.142595
1/30/1991,0.393304,0.249697,-0.145369
1/31/1991,0.395086,0.254660,-0.140879
2/01/1991,0.405169,0.251874,-0.142975
2/04/1991,0.411560,0.253727,-0.144456
2/05/1991,0.422360,0.233047,-0.141998
2/06/1991,0.430272,0.237471,-0.142237
2/07/1991,0.433312,0.235988,-0.140865
2/08/1991,0.429680,0.201544,-0.138787
2/11/1991,0.419223,0.235552,-0.131069
2/12/1991,0.403448,0.232050,-0.132800
2/13/1991,0.412374,0.236332,-0.134873
2/14/1991,0.412636,0.248685,-0.138802
2/15/1991,0.411761,0.256701,-0.146191
2/20/1991,0.416536,0.256216,-0.140515
2/21/1991,0.423762,0.260129,-0.142986
2/22/1991,0.427772,0.276040,-0.098170
2/25/1991,0.426703,0.291429,-0.090544
2/26/1991,0.430413,0.286525,-0.091311
2/27/1991,0.439400,0.294270,-0.083769
2/28/1991,0.444342,0.274135,-0.088236
3/01/1991,0.412824,0.310832,-0.062560
3/04/1991,0.423027,0.311030,-0.061499
3/05/1991,0.424381,0.313073,-0.057824
3/06/1991,0.423048,0.266956,-0.055349
3/07/1991,0.422787,0.273896,-0.062413
3/08/1991,0.420494,0.275925,-0.063383
3/11/1991,0.370347,0.239035,-0.062999
3/12/1991,0.377515,0.258307,-0.049267
3/13/1991,0.346635,0.234992,-0.033788
3/14/1991,0.352608,0.235299,-0.025149
3/15/1991,0.362247,0.231770,-0.024897
3/18/1991,0.334273,0.222355,0.004737
3/19/1991,0.327500,0.229086,0.008766
3/20/1991,0.335851,0.221387,0.000359
3/21/1991,0.345016,0.215913,-0.004092
3/22/1991,0.354324,0.222381,0.002902
3/25/1991,0.363682,0.233175,0.014469
3/26/1991,0.368863,0.247243,0.023557
3/27/1991,0.373505,0.245002,0.026870
3/28/1991,0.381373,0.240983,0.019985
4/03/1991,0.373806,0.219153,0.020570
4/04/1991,0.366158,0.175668,0.024241
4/05/1991,0.369296,0.178041,0.018586
4/08/1991,0.352112,0.135810,0.018202
4/09/1991,0.361325,0.142392,0.022565
4/10/1991,0.363110,0.138494,0.025073
4/11/1991,0.364047,0.140888,0.020953
4/12/1991,0.369450,0.144577,0.023025
4/15/1991,0.372573,0.150640,0.033043
4/16/1991,0.362494,0.161714,0.028206
4/17/1991,0.351594,0.165746,0.027765
4/18/1991,0.342566,0.121794,0.026398
4/19/1991,0.351810,0.129332,0.033970
4/22/1991,0.356744,0.136988,0.037031
4/23/1991,0.365142,0.138336,0.038584
4/24/1991,0.372076,0.141951,0.036911
4/25/1991,0.379684,0.130269,0.035674
4/26/1991,0.369552,0.136223,0.036180
4/29/1991,0.375494,0.132928,0.038325
4/30/1991,0.379210,0.143773,0.039110
5/01/1991,0.365570,0.154064,0.036313
5/02/1991,0.364635,0.157757,0.038518
5/03/1991,0.370400,0.161064,0.041941
5/08/1991,0.321380,0.138210,0.045798
5/09/1991,0.327344,0.139785,0.042565
5/10/1991,0.334011,0.133123,0.038660
5/13/1991,0.325612,0.141001,0.058951
5/14/1991,0.333701,0.139946,0.059564
5/15/1991,0.336022,0.143877,0.051827
5/16/1991,0.340552,0.157075,0.058694
5/17/1991,0.339835,0.154565,0.061484
5/20/1991,0.324135,0.154559,0.068682
5/21/1991,0.327172,0.160533,0.071687
5/22/1991,0.324030,0.158997,0.076108
5/23/1991,0.329787,0.156135,0.071681
5/24/1991,0.333535,0.160311,0.074222
5/28/1991,0.336739,0.164567,0.078439
5/29/1991,0.326916,0.130781,0.077522
5/30/1991,0.326781,0.149022,0.085185
5/31/1991,0.328808,0.147989,0.092994
6/03/1991,0.334422,0.156785,0.099584
6/04/1991,0.338221,0.160661,0.102651
6/05/1991,0.333868,0.164480,0.104242
6/06/1991,0.287387,0.169066,0.089939
6/07/1991,0.219177,0.119463,0.101496
6/10/1991,0.220965,0.120790,0.106589
6/11/1991,0.186534,0.101637,0.124208
6/12/1991,0.191481,0.109419,0.122505
6/13/1991,0.197034,0.127715,0.126858
6/14/1991,0.202233,0.131191,0.129711
6/17/1991,0.193916,0.146660,0.128407
6/18/1991,0.197926,0.150239,0.131468
6/19/1991,0.201359,0.155285,0.133640
6/20/1991,0.190480,0.153498,0.141210
6/21/1991,0.177929,0.176697,0.123479
6/24/1991,0.163111,0.183979,0.112512
6/25/1991,0.179060,0.213601,0.198245
6/26/1991,0.185051,0.215340,0.201776
6/27/1991,0.193443,0.207547,0.194588
6/28/1991,0.164929,0.215572,0.135533
7/01/1991,0.180766,0.096230,0.062268
7/02/1991,0.184748,0.105878,0.064562
7/03/1991,0.189447,0.109180,0.063081
7/09/1991,0.194618,0.113361,0.066013
7/10/1991,0.200500,0.131588,0.072777
7/11/1991,0.201612,0.108694,0.073728
7/12/1991,0.209221,0.096314,0.073220
7/15/1991,0.213561,0.110363,0.101087
7/16/1991,0.212926,0.114237,0.103622
7/17/1991,0.202511,0.114216,0.122715
7/18/1991,0.210638,0.131957,0.146862
7/19/1991,0.216430,0.138993,0.153594
7/22/1991,0.223263,0.142746,0.156417
7/23/1991,0.235143,0.131041,0.135235
7/24/1991,0.240066,0.106351,0.080527
7/25/1991,0.134208,0.133498,0.068193
7/26/1991,0.141615,0.108551,0.055162
7/29/1991,0.146983,0.107558,0.052590
7/30/1991,0.155792,0.095250,0.044075
7/31/1991,0.141833,0.107370,0.043972
8/01/1991,0.156338,0.117609,0.054640
8/02/1991,0.165329,0.099672,0.022799
8/05/1991,0.132489,0.046722,0.029396
8/06/1991,0.138655,0.043356,0.017080
8/07/1991,0.141660,0.034948,0.019676
8/08/1991,0.147722,0.029331,0.017861
8/09/1991,0.127542,0.056569,0.011801
8/12/1991,0.129843,0.056469,0.014534
8/13/1991,0.135154,0.060524,0.015513
8/14/1991,0.143634,0.077969,0.025518
8/15/1991,0.156471,0.089820,0.037155
8/16/1991,0.133049,0.072961,0.042375
8/19/1991,0.130595,0.060766,0.046779
8/20/1991,0.136920,0.033997,-0.054972
8/21/1991,0.141675,0.039222,-0.053685
8/22/1991,0.133582,0.043154,-0.101779
8/23/1991,0.083819,0.019945,-0.040523
8/28/1991,0.078657,0.023189,-0.019476
8/29/1991,0.072645,0.021351,-0.017298
8/30/1991,0.062972,0.037925,-0.019570
9/04/1991,0.060517,0.029348,-0.006311
9/05/1991,0.061712,0.037972,-0.016669
9/06/1991,0.063636,0.035161,-0.014496
9/09/1991,0.066469,0.038631,-0.012657
9/10/1991,0.067643,0.046472,-0.013756
9/11/1991,0.063540,0.053988,-0.020324
9/12/1991,0.072060,0.049993,-0.020044
9/13/1991,0.074016,0.055950,-0.024542
9/16/1991,0.079753,0.058043,-0.025626
9/17/1991,0.085575,0.064641,-0.016921
9/18/1991,0.083072,0.064980,-0.012856
9/19/1991,0.099382,0.082505,-0.001696
9/20/1991,0.102369,0.084653,0.012246
9/23/1991,0.120006,0.098343,0.033962
9/24/1991,0.144716,0.063598,-0.038963
9/25/1991,0.148352,0.069677,-0.037847
9/26/1991,0.153895,0.073243,-0.036571
9/27/1991,0.131614,0.094990,-0.038961
9/30/1991,0.131241,0.104253,-0.042084
10/01/1991,0.134793,0.097931,-0.039331
10/02/1991,0.129791,0.107274,-0.040163
10/03/1991,0.134839,0.111838,-0.038230
10/04/1991,0.148535,0.120454,-0.029628
10/07/1991,0.153951,0.124878,-0.027217
10/08/1991,0.143726,0.131099,-0.027830
10/09/1991,0.146974,0.135668,-0.030878
10/10/1991,0.168786,0.126334,-0.031420
10/11/1991,0.176757,0.126615,-0.032793
