,Var(Equation(1)),Var(Equation(2)),Var(Equation(3)),"Cov(Equation(1),Equation(2))","Cov(Equation(1),Equation(3))","Cov(Equation(2),Equation(3))"
1/03/1991,0.000111,0.002884,4.31E-05,0.000357,3.55E-05,-4.41E-05
1/04/1991,0.000105,0.002784,4.45E-05,0.000340,3.45E-05,-4.80E-05
1/07/1991,9.98E-05,0.002646,4.51E-05,0.000327,3.29E-05,-4.94E-05
1/08/1991,0.000119,0.002940,4.70E-05,0.000354,3.57E-05,-3.42E-05
1/09/1991,0.000130,0.002726,4.78E-05,0.000344,3.69E-05,-3.14E-05
1/10/1991,0.000122,0.002526,4.72E-05,0.000329,3.56E-05,-2.99E-05
1/11/1991,0.000116,0.002333,4.88E-05,0.000315,3.49E-05,-2.85E-05
1/14/1991,0.000111,0.002167,4.91E-05,0.000300,3.30E-05,-2.60E-05
1/15/1991,0.000110,0.002539,4.84E-05,0.000306,3.17E-05,-2.62E-05
1/16/1991,0.000108,0.002374,4.79E-05,0.000297,3.03E-05,-2.56E-05
1/17/1991,0.000103,0.002321,4.84E-05,0.000287,2.96E-05,-1.99E-05
1/18/1991,0.000125,0.008033,5.42E-05,0.000423,2.17E-05,-9.46E-05
1/21/1991,0.000120,0.007775,5.32E-05,0.000417,2.13E-05,-8.97E-05
1/22/1991,0.000114,0.007329,5.25E-05,0.000403,2.05E-05,-8.88E-05
1/23/1991,0.000110,0.007014,5.19E-05,0.000376,2.04E-05,-8.88E-05
1/24/1991,0.000115,0.006755,5.14E-05,0.000380,2.07E-05,-8.22E-05
1/25/1991,0.000149,0.006237,5.06E-05,0.000369,2.07E-05,-7.91E-05
1/28/1991,0.000154,0.005758,5.08E-05,0.000351,2.20E-05,-7.70E-05
1/29/1991,0.000145,0.005324,5.02E-05,0.000337,2.16E-05,-7.37E-05
1/30/1991,0.000138,0.004954,4.97E-05,0.000325,2.07E-05,-7.21E-05
1/31/1991,0.000143,0.004629,4.94E-05,0.000322,2.14E-05,-6.74E-05
2/01/1991,0.000137,0.004291,4.89E-05,0.000310,2.06E-05,-6.55E-05
2/04/1991,0.000130,0.003964,4.82E-05,0.000296,2.01E-05,-6.32E-05
2/05/1991,0.000123,0.003662,5.27E-05,0.000284,1.88E-05,-6.24E-05
2/06/1991,0.000119,0.003386,5.20E-05,0.000273,1.87E-05,-5.97E-05
2/07/1991,0.000113,0.003156,5.13E-05,0.000259,1.80E-05,-5.67E-05
