,Var(Equation(1)),Var(Equation(2)),Var(Equation(3)),"Cov(Equation(1),Equation(2))","Cov(Equation(1),Equation(3))","Cov(Equation(2),Equation(3))"
1/03/1991,0.000111,0.002882,4.31E-05,0.000103,1.55E-05,5.49E-05
1/04/1991,0.000108,0.002767,4.46E-05,9.96E-05,1.56E-05,5.47E-05
1/07/1991,0.000105,0.002608,4.51E-05,9.55E-05,1.55E-05,5.34E-05
1/08/1991,0.000115,0.002961,4.72E-05,0.000106,1.65E-05,5.83E-05
1/09/1991,0.000121,0.002708,4.80E-05,0.000104,1.71E-05,5.62E-05
1/10/1991,0.000118,0.002476,4.72E-05,9.85E-05,1.67E-05,5.32E-05
1/11/1991,0.000115,0.002256,4.89E-05,9.28E-05,1.68E-05,5.17E-05
1/14/1991,0.000113,0.002069,4.91E-05,8.80E-05,1.67E-05,4.97E-05
1/15/1991,0.000112,0.002519,4.82E-05,9.68E-05,1.65E-05,5.43E-05
1/16/1991,0.000111,0.002329,4.74E-05,9.28E-05,1.63E-05,5.18E-05
1/17/1991,0.000109,0.002272,4.79E-05,9.05E-05,1.62E-05,5.14E-05
1/18/1991,0.000120,0.009030,5.46E-05,0.000190,1.81E-05,0.000109
1/21/1991,0.000118,0.008643,5.34E-05,0.000184,1.78E-05,0.000106
1/22/1991,0.000115,0.008044,5.24E-05,0.000175,1.74E-05,0.000101
1/23/1991,0.000113,0.007613,5.16E-05,0.000169,1.71E-05,9.77E-05
1/24/1991,0.000116,0.007259,5.09E-05,0.000167,1.72E-05,9.47E-05
1/25/1991,0.000134,0.006607,4.99E-05,0.000171,1.83E-05,8.94E-05
1/28/1991,0.000137,0.006014,5.01E-05,0.000166,1.86E-05,8.55E-05
1/29/1991,0.000134,0.005483,4.93E-05,0.000156,1.82E-05,8.10E-05
1/30/1991,0.000131,0.005036,4.86E-05,0.000148,1.79E-05,7.71E-05
1/31/1991,0.000134,0.004649,4.83E-05,0.000144,1.80E-05,7.38E-05
2/01/1991,0.000132,0.004252,4.75E-05,0.000136,1.77E-05,7.00E-05
2/04/1991,0.000129,0.003873,4.67E-05,0.000129,1.74E-05,6.63E-05
2/05/1991,0.000126,0.003529,5.20E-05,0.000121,1.81E-05,6.67E-05
2/06/1991,0.000124,0.003218,5.11E-05,0.000115,1.78E-05,6.32E-05
2/07/1991,0.000121,0.002965,5.02E-05,0.000109,1.75E-05,6.01E-05
2/08/1991,0.000121,0.002700,5.16E-05,0.000104,1.77E-05,5.82E-05
2/11/1991,0.000124,0.002460,5.68E-05,0.000101,1.88E-05,5.82E-05
2/12/1991,0.000126,0.002257,5.54E-05,9.72E-05,1.87E-05,5.51E-05
2/13/1991,0.000123,0.002060,5.46E-05,9.17E-05,1.84E-05,5.23E-05
2/14/1991,0.000121,0.001892,5.77E-05,8.72E-05,1.87E-05,5.15E-05
2/15/1991,0.000118,0.001762,5.91E-05,8.32E-05,1.87E-05,5.03E-05
2/20/1991,0.000117,0.001810,5.75E-05,8.38E-05,1.84E-05,5.03E-05
2/21/1991,0.000114,0.001657,5.64E-05,7.92E-05,1.80E-05,4.76E-05
2/22/1991,0.000113,0.001715,6.10E-05,8.01E-05,1.86E-05,5.04E-05
2/25/1991,0.000114,0.001577,6.23E-05,7.73E-05,1.89E-05,4.88E-05
2/26/1991,0.000113,0.001443,6.05E-05,7.36E-05,1.86E-05,4.61E-05
2/27/1991,0.000111,0.001336,6.08E-05,7.02E-05,1.84E-05,4.44E-05
2/28/1991,0.000111,0.001259,5.97E-05,6.83E-05,1.83E-05,4.27E-05
3/01/1991,0.000127,0.001192,6.62E-05,7.09E-05,2.06E-05,4.38E-05
3/04/1991,0.000124,0.001090,6.47E-05,6.69E-05,2.00E-05,4.14E-05
3/05/1991,0.000120,0.001050,6.28E-05,6.48E-05,1.95E-05,4.00E-05
3/06/1991,0.000120,0.000960,6.60E-05,6.19E-05,2.00E-05,3.92E-05
3/07/1991,0.000118,0.000899,6.61E-05,5.92E-05,1.98E-05,3.80E-05
3/08/1991,0.000116,0.000829,6.42E-05,5.65E-05,1.94E-05,3.60E-05
3/11/1991,0.000129,0.000760,6.24E-05,5.70E-05,2.01E-05,3.39E-05
3/12/1991,0.000129,0.000709,6.56E-05,5.51E-05,2.06E-05,3.36E-05
3/13/1991,0.000129,0.000708,6.52E-05,5.50E-05,2.06E-05,3.35E-05
3/14/1991,0.000129,0.000828,6.34E-05,5.96E-05,2.03E-05,3.57E-05
3/15/1991,0.000129,0.000787,6.15E-05,5.80E-05,1.99E-05,3.43E-05
3/18/1991,0.000126,0.000875,6.24E-05,6.04E-05,1.98E-05,3.64E-05
3/19/1991,0.000131,0.000805,6.15E-05,5.93E-05,2.02E-05,3.47E-05
3/20/1991,0.000129,0.000814,6.04E-05,5.91E-05,1.98E-05,3.45E-05
3/21/1991,0.000126,0.000750,6.17E-05,5.60E-05,1.98E-05,3.35E-05
3/22/1991,0.000123,0.000701,6.10E-05,5.35E-05,1.94E-05,3.22E-05
3/25/1991,0.000121,0.000654,6.37E-05,5.12E-05,1.96E-05,3.18E-05
3/26/1991,0.000121,0.000612,6.38E-05,4.97E-05,1.97E-05,3.08E-05
3/27/1991,0.000119,0.000565,6.23E-05,4.72E-05,1.93E-05,2.92E-05
3/28/1991,0.000116,0.000531,6.25E-05,4.51E-05,1.90E-05,2.84E-05
4/03/1991,0.000119,0.000490,6.10E-05,4.39E-05,1.91E-05,2.69E-05
4/04/1991,0.000120,0.000451,6.34E-05,4.23E-05,1.95E-05,2.63E-05
4/05/1991,0.000116,0.000437,6.22E-05,4.11E-05,1.91E-05,2.57E-05
4/08/1991,0.000123,0.000404,6.19E-05,4.06E-05,1.95E-05,2.46E-05
4/09/1991,0.000120,0.000378,6.05E-05,3.88E-05,1.91E-05,2.36E-05
4/10/1991,0.000119,0.000349,5.91E-05,3.71E-05,1.88E-05,2.24E-05
4/11/1991,0.000116,0.000353,5.78E-05,3.68E-05,1.83E-05,2.23E-05
4/12/1991,0.000113,0.000327,5.63E-05,3.50E-05,1.79E-05,2.11E-05
4/15/1991,0.000110,0.000327,5.55E-05,3.46E-05,1.75E-05,2.10E-05
4/16/1991,0.000109,0.000311,5.51E-05,3.35E-05,1.74E-05,2.04E-05
4/17/1991,0.000106,0.000314,5.39E-05,3.33E-05,1.69E-05,2.03E-05
4/18/1991,0.000109,0.000292,5.51E-05,3.25E-05,1.74E-05,1.98E-05
4/19/1991,0.000111,0.000300,5.41E-05,3.33E-05,1.74E-05,1.98E-05
4/22/1991,0.000110,0.000278,5.31E-05,3.18E-05,1.71E-05,1.89E-05
4/23/1991,0.000108,0.000271,5.20E-05,3.12E-05,1.68E-05,1.85E-05
4/24/1991,0.000105,0.000253,5.21E-05,2.98E-05,1.66E-05,1.79E-05
4/25/1991,0.000103,0.000236,5.64E-05,2.84E-05,1.71E-05,1.80E-05
4/26/1991,0.000102,0.000223,5.51E-05,2.75E-05,1.68E-05,1.73E-05
4/29/1991,9.95E-05,0.000209,5.47E-05,2.62E-05,1.65E-05,1.66E-05
4/30/1991,9.73E-05,0.000195,5.51E-05,2.51E-05,1.64E-05,1.62E-05
5/01/1991,9.63E-05,0.000188,5.44E-05,2.45E-05,1.62E-05,1.57E-05
5/02/1991,9.40E-05,0.000181,5.31E-05,2.37E-05,1.58E-05,1.53E-05
5/03/1991,9.26E-05,0.000172,5.20E-05,2.30E-05,1.55E-05,1.47E-05
5/08/1991,9.98E-05,0.000164,5.09E-05,2.33E-05,1.60E-05,1.42E-05
5/09/1991,9.71E-05,0.000155,5.26E-05,2.24E-05,1.60E-05,1.41E-05
5/10/1991,9.47E-05,0.000148,5.45E-05,2.15E-05,1.61E-05,1.40E-05
5/13/1991,9.24E-05,0.000171,5.46E-05,2.29E-05,1.59E-05,1.50E-05
5/14/1991,9.21E-05,0.000171,5.34E-05,2.28E-05,1.57E-05,1.49E-05
5/15/1991,8.97E-05,0.000164,5.44E-05,2.21E-05,1.57E-05,1.47E-05
5/16/1991,8.89E-05,0.000157,5.42E-05,2.15E-05,1.56E-05,1.44E-05
5/17/1991,8.94E-05,0.000149,5.30E-05,2.10E-05,1.54E-05,1.38E-05
5/20/1991,8.73E-05,0.000154,5.21E-05,2.12E-05,1.51E-05,1.40E-05
5/21/1991,8.57E-05,0.000146,5.12E-05,2.04E-05,1.48E-05,1.35E-05
5/22/1991,8.42E-05,0.000140,5.03E-05,1.97E-05,1.46E-05,1.30E-05
5/23/1991,8.28E-05,0.000142,4.95E-05,1.97E-05,1.43E-05,1.31E-05
5/24/1991,8.07E-05,0.000135,4.86E-05,1.90E-05,1.40E-05,1.26E-05
5/28/1991,7.86E-05,0.000132,4.78E-05,1.85E-05,1.37E-05,1.24E-05
5/29/1991,8.10E-05,0.000126,4.81E-05,1.84E-05,1.40E-05,1.21E-05
5/30/1991,8.24E-05,0.000122,4.84E-05,1.83E-05,1.42E-05,1.20E-05
5/31/1991,8.03E-05,0.000118,4.91E-05,1.77E-05,1.41E-05,1.19E-05
6/03/1991,7.90E-05,0.000116,4.87E-05,1.74E-05,1.39E-05,1.17E-05
6/04/1991,7.72E-05,0.000111,4.78E-05,1.68E-05,1.36E-05,1.13E-05
6/05/1991,7.57E-05,0.000108,4.70E-05,1.65E-05,1.34E-05,1.11E-05
6/06/1991,7.40E-05,0.000138,4.63E-05,1.84E-05,1.31E-05,1.24E-05
6/07/1991,8.03E-05,0.000138,4.67E-05,1.92E-05,1.37E-05,1.25E-05
6/10/1991,7.84E-05,0.000133,4.63E-05,1.86E-05,1.35E-05,1.22E-05
6/11/1991,7.80E-05,0.000143,4.74E-05,1.93E-05,1.36E-05,1.28E-05
6/12/1991,7.61E-05,0.000136,4.97E-05,1.85E-05,1.38E-05,1.28E-05
6/13/1991,7.52E-05,0.000129,5.11E-05,1.80E-05,1.39E-05,1.27E-05
6/14/1991,7.34E-05,0.000123,5.01E-05,1.73E-05,1.36E-05,1.22E-05
6/17/1991,7.40E-05,0.000118,5.01E-05,1.70E-05,1.36E-05,1.20E-05
6/18/1991,7.22E-05,0.000113,4.91E-05,1.65E-05,1.33E-05,1.16E-05
6/19/1991,7.06E-05,0.000109,4.83E-05,1.60E-05,1.31E-05,1.13E-05
6/20/1991,6.91E-05,0.000114,4.80E-05,1.62E-05,1.29E-05,1.15E-05
6/21/1991,6.88E-05,0.000112,5.12E-05,1.60E-05,1.33E-05,1.18E-05
6/24/1991,6.76E-05,0.000117,5.06E-05,1.62E-05,1.31E-05,1.20E-05
6/25/1991,6.74E-05,0.000191,7.07E-05,2.07E-05,1.55E-05,1.81E-05
6/26/1991,6.59E-05,0.000179,6.84E-05,1.98E-05,1.50E-05,1.73E-05
6/27/1991,6.47E-05,0.000173,6.74E-05,1.93E-05,1.48E-05,1.68E-05
6/28/1991,6.34E-05,0.000202,7.03E-05,2.06E-05,1.50E-05,1.86E-05
7/01/1991,6.38E-05,0.000200,0.000109,2.06E-05,1.87E-05,2.29E-05
7/02/1991,6.26E-05,0.000187,0.000105,1.97E-05,1.82E-05,2.19E-05
7/03/1991,6.11E-05,0.000177,0.000103,1.89E-05,1.77E-05,2.10E-05
7/09/1991,5.96E-05,0.000166,9.83E-05,1.81E-05,1.71E-05,1.99E-05
7/10/1991,5.97E-05,0.000158,9.67E-05,1.77E-05,1.70E-05,1.93E-05
7/11/1991,5.96E-05,0.000149,9.69E-05,1.72E-05,1.70E-05,1.87E-05
7/12/1991,6.20E-05,0.000144,9.32E-05,1.72E-05,1.70E-05,1.80E-05
7/15/1991,6.08E-05,0.000160,9.51E-05,1.80E-05,1.70E-05,1.92E-05
7/16/1991,5.95E-05,0.000155,9.12E-05,1.75E-05,1.65E-05,1.85E-05
7/17/1991,5.81E-05,0.000168,9.10E-05,1.80E-05,1.63E-05,1.93E-05
7/18/1991,5.74E-05,0.000202,9.21E-05,1.96E-05,1.63E-05,2.12E-05
7/19/1991,5.61E-05,0.000190,9.36E-05,1.88E-05,1.62E-05,2.08E-05
7/22/1991,5.51E-05,0.000183,8.98E-05,1.83E-05,1.58E-05,2.00E-05
7/23/1991,5.48E-05,0.000198,8.76E-05,1.90E-05,1.55E-05,2.05E-05
7/24/1991,5.41E-05,0.000221,9.33E-05,1.99E-05,1.59E-05,2.24E-05
7/25/1991,7.09E-05,0.000218,9.18E-05,2.27E-05,1.81E-05,2.20E-05
7/26/1991,6.96E-05,0.000205,0.000102,2.18E-05,1.89E-05,2.26E-05
7/29/1991,6.79E-05,0.000192,0.000117,2.08E-05,1.99E-05,2.33E-05
7/30/1991,6.68E-05,0.000184,0.000117,2.02E-05,1.98E-05,2.28E-05
7/31/1991,7.01E-05,0.000174,0.000112,2.01E-05,1.99E-05,2.17E-05
8/01/1991,6.95E-05,0.000178,0.000108,2.02E-05,1.94E-05,2.16E-05
8/02/1991,6.82E-05,0.000182,0.000115,2.03E-05,1.99E-05,2.25E-05
8/05/1991,8.01E-05,0.000172,0.000113,2.14E-05,2.13E-05,2.17E-05
8/06/1991,7.81E-05,0.000165,0.000117,2.07E-05,2.14E-05,2.16E-05
8/07/1991,7.74E-05,0.000156,0.000114,2.00E-05,2.10E-05,2.07E-05
8/08/1991,7.57E-05,0.000147,0.000116,1.92E-05,2.09E-05,2.03E-05
8/09/1991,7.88E-05,0.000143,0.000113,1.93E-05,2.12E-05,1.98E-05
8/12/1991,7.80E-05,0.000135,0.000108,1.87E-05,2.06E-05,1.89E-05
8/13/1991,7.60E-05,0.000129,0.000105,1.80E-05,2.00E-05,1.81E-05
8/14/1991,7.49E-05,0.000124,0.000106,1.76E-05,1.99E-05,1.78E-05
8/15/1991,7.41E-05,0.000126,0.000103,1.76E-05,1.95E-05,1.77E-05
8/16/1991,7.95E-05,0.000122,9.87E-05,1.79E-05,1.99E-05,1.71E-05
8/19/1991,8.02E-05,0.000117,9.60E-05,1.76E-05,1.97E-05,1.65E-05
8/20/1991,7.93E-05,0.000236,0.000106,2.49E-05,2.05E-05,2.46E-05
8/21/1991,7.85E-05,0.000220,0.000101,2.39E-05,2.00E-05,2.32E-05
8/22/1991,7.65E-05,0.000247,0.000116,2.50E-05,2.11E-05,2.63E-05
8/23/1991,7.63E-05,0.000309,0.000118,2.80E-05,2.13E-05,2.98E-05
8/28/1991,7.43E-05,0.000348,0.000114,2.93E-05,2.07E-05,3.11E-05
8/29/1991,7.58E-05,0.000323,0.000109,2.85E-05,2.04E-05,2.93E-05
8/30/1991,7.73E-05,0.000303,0.000106,2.79E-05,2.03E-05,2.79E-05
9/04/1991,7.58E-05,0.000287,0.000106,2.69E-05,2.01E-05,2.72E-05
9/05/1991,7.40E-05,0.000274,0.000107,2.59E-05,1.99E-05,2.67E-05
9/06/1991,7.34E-05,0.000254,0.000103,2.49E-05,1.95E-05,2.52E-05
9/09/1991,8.28E-05,0.000237,9.86E-05,2.55E-05,2.03E-05,2.38E-05
9/10/1991,8.11E-05,0.000223,9.53E-05,2.45E-05,1.97E-05,2.27E-05
9/11/1991,7.92E-05,0.000224,9.23E-05,2.43E-05,1.92E-05,2.24E-05
9/12/1991,7.94E-05,0.000210,8.90E-05,2.35E-05,1.88E-05,2.13E-05
9/13/1991,7.74E-05,0.000203,8.67E-05,2.28E-05,1.84E-05,2.07E-05
9/16/1991,7.55E-05,0.000191,8.45E-05,2.19E-05,1.79E-05,1.98E-05
9/17/1991,7.36E-05,0.000181,8.44E-05,2.10E-05,1.77E-05,1.93E-05
9/18/1991,7.27E-05,0.000173,8.14E-05,2.04E-05,1.72E-05,1.85E-05
9/19/1991,7.29E-05,0.000169,7.99E-05,2.02E-05,1.71E-05,1.81E-05
9/20/1991,7.10E-05,0.000165,7.98E-05,1.97E-05,1.69E-05,1.79E-05
9/23/1991,7.01E-05,0.000187,7.87E-05,2.09E-05,1.66E-05,1.89E-05
9/24/1991,6.99E-05,0.000283,8.49E-05,2.56E-05,1.73E-05,2.42E-05
9/25/1991,6.85E-05,0.000263,8.17E-05,2.45E-05,1.68E-05,2.28E-05
9/26/1991,6.70E-05,0.000245,7.88E-05,2.33E-05,1.63E-05,2.16E-05
9/27/1991,7.13E-05,0.000231,7.72E-05,2.34E-05,1.66E-05,2.08E-05
9/30/1991,6.98E-05,0.000219,7.57E-05,2.25E-05,1.63E-05,2.01E-05
10/01/1991,6.87E-05,0.000204,7.47E-05,2.16E-05,1.61E-05,1.92E-05
10/02/1991,6.81E-05,0.000194,7.25E-05,2.10E-05,1.58E-05,1.85E-05
10/03/1991,6.64E-05,0.000182,7.01E-05,2.01E-05,1.53E-05,1.76E-05
10/04/1991,6.58E-05,0.000181,6.82E-05,1.99E-05,1.50E-05,1.73E-05
10/07/1991,6.42E-05,0.000170,6.61E-05,1.90E-05,1.46E-05,1.65E-05
10/08/1991,6.32E-05,0.000169,6.43E-05,1.88E-05,1.43E-05,1.62E-05
10/09/1991,6.17E-05,0.000162,6.35E-05,1.82E-05,1.40E-05,1.58E-05
10/10/1991,6.33E-05,0.000166,6.18E-05,1.87E-05,1.40E-05,1.58E-05
10/11/1991,6.21E-05,0.000162,6.04E-05,1.83E-05,1.37E-05,1.54E-05
10/14/1991,6.66E-05,0.000154,6.00E-05,1.84E-05,1.42E-05,1.50E-05
10/15/1991,6.72E-05,0.000165,6.27E-05,1.92E-05,1.45E-05,1.58E-05
10/16/1991,6.77E-05,0.000167,6.56E-05,1.94E-05,1.49E-05,1.63E-05
10/17/1991,6.64E-05,0.000165,6.94E-05,1.90E-05,1.52E-05,1.67E-05
10/18/1991,6.57E-05,0.000162,6.74E-05,1.88E-05,1.49E-05,1.63E-05
10/21/1991,6.45E-05,0.000157,6.54E-05,1.83E-05,1.45E-05,1.58E-05
10/22/1991,6.30E-05,0.000149,6.58E-05,1.77E-05,1.44E-05,1.54E-05
10/23/1991,6.19E-05,0.000208,6.43E-05,2.07E-05,1.41E-05,1.80E-05
10/24/1991,6.15E-05,0.000209,6.26E-05,2.07E-05,1.39E-05,1.78E-05
10/25/1991,6.01E-05,0.000297,6.08E-05,2.43E-05,1.35E-05,2.09E-05
10/28/1991,5.89E-05,0.000281,6.13E-05,2.34E-05,1.35E-05,2.04E-05
10/29/1991,5.86E-05,0.000263,5.96E-05,2.26E-05,1.32E-05,1.95E-05
10/30/1991,6.05E-05,0.000246,5.81E-05,2.22E-05,1.33E-05,1.86E-05
10/31/1991,5.90E-05,0.000230,5.66E-05,2.12E-05,1.29E-05,1.78E-05
11/01/1991,5.80E-05,0.000218,5.53E-05,2.05E-05,1.27E-05,1.71E-05
11/04/1991,5.71E-05,0.000230,5.40E-05,2.09E-05,1.24E-05,1.74E-05
11/05/1991,5.67E-05,0.000216,5.55E-05,2.02E-05,1.26E-05,1.71E-05
11/15/1991,5.61E-05,0.000207,5.43E-05,1.96E-05,1.24E-05,1.65E-05
11/18/1991,5.73E-05,0.000223,6.62E-05,2.06E-05,1.38E-05,1.89E-05
11/19/1991,5.64E-05,0.000237,6.53E-05,2.11E-05,1.36E-05,1.94E-05
11/20/1991,5.59E-05,0.000276,6.56E-05,2.27E-05,1.36E-05,2.10E-05
11/21/1991,5.52E-05,0.000273,6.40E-05,2.24E-05,1.33E-05,2.06E-05
11/22/1991,5.44E-05,0.000258,6.38E-05,2.16E-05,1.32E-05,2.00E-05
11/25/1991,5.31E-05,0.000268,6.64E-05,2.18E-05,1.33E-05,2.08E-05
11/26/1991,5.22E-05,0.000250,6.48E-05,2.08E-05,1.30E-05,1.98E-05
11/27/1991,5.13E-05,0.000252,6.29E-05,2.07E-05,1.27E-05,1.96E-05
12/02/1991,5.01E-05,0.000258,6.22E-05,2.07E-05,1.25E-05,1.97E-05
12/03/1991,5.05E-05,0.000250,6.05E-05,2.05E-05,1.24E-05,1.92E-05
12/04/1991,4.96E-05,0.000257,6.25E-05,2.06E-05,1.25E-05,1.98E-05
12/05/1991,4.84E-05,0.000241,6.09E-05,1.97E-05,1.22E-05,1.89E-05
12/06/1991,4.73E-05,0.000256,5.96E-05,2.01E-05,1.19E-05,1.93E-05
12/09/1991,4.76E-05,0.000263,6.05E-05,2.04E-05,1.20E-05,1.97E-05
12/10/1991,4.66E-05,0.000332,6.03E-05,2.26E-05,1.19E-05,2.20E-05
12/11/1991,4.65E-05,0.000307,5.87E-05,2.18E-05,1.17E-05,2.09E-05
12/12/1991,4.59E-05,0.000294,5.76E-05,2.12E-05,1.15E-05,2.03E-05
12/13/1991,5.30E-05,0.000298,5.61E-05,2.29E-05,1.22E-05,2.02E-05
12/16/1991,5.20E-05,0.000277,7.19E-05,2.19E-05,1.37E-05,2.20E-05
12/17/1991,5.08E-05,0.000264,7.12E-05,2.11E-05,1.35E-05,2.14E-05
12/18/1991,5.12E-05,0.000267,6.89E-05,2.13E-05,1.33E-05,2.11E-05
12/19/1991,5.07E-05,0.000261,6.84E-05,2.10E-05,1.32E-05,2.08E-05
12/20/1991,4.96E-05,0.000268,6.81E-05,2.10E-05,1.30E-05,2.11E-05
12/30/1991,4.95E-05,0.000686,6.60E-05,3.36E-05,1.28E-05,3.32E-05
12/31/1991,4.83E-05,0.000629,6.93E-05,3.18E-05,1.30E-05,3.25E-05
1/02/1992,4.76E-05,0.000577,6.74E-05,3.02E-05,1.27E-05,3.07E-05
1/03/1992,4.65E-05,0.000539,6.53E-05,2.89E-05,1.24E-05,2.92E-05
1/06/1992,4.76E-05,0.000504,6.37E-05,2.82E-05,1.23E-05,2.79E-05
1/07/1992,4.65E-05,0.000467,6.24E-05,2.68E-05,1.21E-05,2.66E-05
1/08/1992,4.57E-05,0.000438,6.07E-05,2.58E-05,1.18E-05,2.54E-05
1/09/1992,4.61E-05,0.000493,5.90E-05,2.74E-05,1.17E-05,2.66E-05
1/10/1992,5.43E-05,0.000460,5.84E-05,2.88E-05,1.26E-05,2.55E-05
1/13/1992,5.31E-05,0.000424,5.71E-05,2.73E-05,1.23E-05,2.42E-05
1/14/1992,5.41E-05,0.000468,5.63E-05,2.90E-05,1.24E-05,2.53E-05
1/15/1992,5.32E-05,0.000432,5.53E-05,2.76E-05,1.22E-05,2.41E-05
1/16/1992,5.32E-05,0.000456,5.46E-05,2.84E-05,1.21E-05,2.46E-05
1/30/1992,6.36E-05,0.000449,5.47E-05,3.08E-05,1.32E-05,2.44E-05
1/31/1992,6.35E-05,0.000414,5.34E-05,2.96E-05,1.31E-05,2.32E-05
2/03/1992,6.37E-05,0.000383,5.62E-05,2.85E-05,1.34E-05,2.29E-05
2/04/1992,6.23E-05,0.000354,5.56E-05,2.70E-05,1.32E-05,2.18E-05
2/05/1992,6.09E-05,0.000343,5.54E-05,2.63E-05,1.30E-05,2.15E-05
2/06/1992,5.95E-05,0.000317,5.53E-05,2.50E-05,1.28E-05,2.06E-05
2/07/1992,5.87E-05,0.000294,5.42E-05,2.39E-05,1.26E-05,1.97E-05
2/27/1992,5.76E-05,0.000294,5.30E-05,2.37E-05,1.24E-05,1.94E-05
2/28/1992,5.72E-05,0.000274,5.18E-05,2.28E-05,1.22E-05,1.85E-05
3/02/1992,5.58E-05,0.000254,5.44E-05,2.17E-05,1.24E-05,1.83E-05
3/03/1992,5.46E-05,0.000251,5.39E-05,2.14E-05,1.22E-05,1.81E-05
3/04/1992,5.36E-05,0.000241,5.26E-05,2.07E-05,1.19E-05,1.76E-05
3/05/1992,5.24E-05,0.000228,5.67E-05,1.99E-05,1.22E-05,1.77E-05
3/17/1992,5.15E-05,0.000215,5.74E-05,1.92E-05,1.22E-05,1.73E-05
3/30/1992,5.09E-05,0.000205,5.74E-05,1.86E-05,1.21E-05,1.69E-05
3/31/1992,4.98E-05,0.000193,6.40E-05,1.79E-05,1.27E-05,1.73E-05
