,"Cor(Equation(1),Equation(2))","Cor(Equation(1),Equation(3))","Cor(Equation(2),Equation(3))"
1/03/1991,0.184967,0.224099,0.164369
1/04/1991,0.184967,0.224099,0.164369
1/07/1991,0.184967,0.224099,0.164369
1/08/1991,0.184967,0.224099,0.164369
1/09/1991,0.184967,0.224099,0.164369
1/10/1991,0.184967,0.224099,0.164369
1/11/1991,0.184967,0.224099,0.164369
1/14/1991,0.184967,0.224099,0.164369
1/15/1991,0.184967,0.224099,0.164369
1/16/1991,0.184967,0.224099,0.164369
1/17/1991,0.184967,0.224099,0.164369
1/18/1991,0.184967,0.224099,0.164369
1/21/1991,0.184967,0.224099,0.164369
1/22/1991,0.184967,0.224099,0.164369
1/23/1991,0.184967,0.224099,0.164369
1/24/1991,0.184967,0.224099,0.164369
1/25/1991,0.184967,0.224099,0.164369
1/28/1991,0.184967,0.224099,0.164369
1/29/1991,0.184967,0.224099,0.164369
1/30/1991,0.184967,0.224099,0.164369
1/31/1991,0.184967,0.224099,0.164369
2/01/1991,0.184967,0.224099,0.164369
2/04/1991,0.184967,0.224099,0.164369
2/05/1991,0.184967,0.224099,0.164369
2/06/1991,0.184967,0.224099,0.164369
2/07/1991,0.184967,0.224099,0.164369
2/08/1991,0.184967,0.224099,0.164369
2/11/1991,0.184967,0.224099,0.164369
2/12/1991,0.184967,0.224099,0.164369
2/13/1991,0.184967,0.224099,0.164369
2/14/1991,0.184967,0.224099,0.164369
2/15/1991,0.184967,0.224099,0.164369
2/20/1991,0.184967,0.224099,0.164369
2/21/1991,0.184967,0.224099,0.164369
2/22/1991,0.184967,0.224099,0.164369
2/25/1991,0.184967,0.224099,0.164369
2/26/1991,0.184967,0.224099,0.164369
2/27/1991,0.184967,0.224099,0.164369
2/28/1991,0.184967,0.224099,0.164369
3/01/1991,0.184967,0.224099,0.164369
3/04/1991,0.184967,0.224099,0.164369
3/05/1991,0.184967,0.224099,0.164369
3/06/1991,0.184967,0.224099,0.164369
3/07/1991,0.184967,0.224099,0.164369
3/08/1991,0.184967,0.224099,0.164369
3/11/1991,0.184967,0.224099,0.164369
3/12/1991,0.184967,0.224099,0.164369
3/13/1991,0.184967,0.224099,0.164369
3/14/1991,0.184967,0.224099,0.164369
3/15/1991,0.184967,0.224099,0.164369
3/18/1991,0.184967,0.224099,0.164369
3/19/1991,0.184967,0.224099,0.164369
3/20/1991,0.184967,0.224099,0.164369
3/21/1991,0.184967,0.224099,0.164369
3/22/1991,0.184967,0.224099,0.164369
3/25/1991,0.184967,0.224099,0.164369
3/26/1991,0.184967,0.224099,0.164369
3/27/1991,0.184967,0.224099,0.164369
3/28/1991,0.184967,0.224099,0.164369
4/03/1991,0.184967,0.224099,0.164369
4/04/1991,0.184967,0.224099,0.164369
4/05/1991,0.184967,0.224099,0.164369
4/08/1991,0.184967,0.224099,0.164369
4/09/1991,0.184967,0.224099,0.164369
