,Var(Equation(1)),Var(Equation(2)),Var(Equation(3)),"Cov(Equation(1),Equation(2))","Cov(Equation(1),Equation(3))","Cov(Equation(2),Equation(3))"
1/03/1991,0.000111,0.002883,4.32E-05,0.000105,1.55E-05,5.80E-05
1/04/1991,0.000104,0.002776,4.47E-05,9.94E-05,1.53E-05,5.79E-05
1/07/1991,9.80E-05,0.002628,4.53E-05,9.39E-05,1.49E-05,5.67E-05
1/08/1991,0.000122,0.002950,4.74E-05,0.000111,1.70E-05,6.14E-05
1/09/1991,0.000134,0.002717,4.82E-05,0.000112,1.80E-05,5.95E-05
1/10/1991,0.000125,0.002502,4.76E-05,0.000103,1.73E-05,5.67E-05
1/11/1991,0.000117,0.002296,4.93E-05,9.59E-05,1.70E-05,5.53E-05
1/14/1991,0.000111,0.002120,4.96E-05,8.98E-05,1.66E-05,5.33E-05
1/15/1991,0.000110,0.002529,4.89E-05,9.74E-05,1.64E-05,5.78E-05
1/16/1991,0.000108,0.002352,4.83E-05,9.32E-05,1.62E-05,5.54E-05
1/17/1991,0.000101,0.002297,4.89E-05,8.93E-05,1.58E-05,5.51E-05
1/18/1991,0.000128,0.008510,5.50E-05,0.000193,1.88E-05,0.000112
1/21/1991,0.000123,0.008193,5.40E-05,0.000185,1.82E-05,0.000109
1/22/1991,0.000115,0.007676,5.33E-05,0.000174,1.75E-05,0.000105
1/23/1991,0.000110,0.007308,5.26E-05,0.000166,1.71E-05,0.000102
1/24/1991,0.000116,0.007004,5.20E-05,0.000167,1.74E-05,9.92E-05
1/25/1991,0.000157,0.006423,5.12E-05,0.000186,2.01E-05,9.42E-05
1/28/1991,0.000162,0.005889,5.14E-05,0.000181,2.05E-05,9.05E-05
1/29/1991,0.000151,0.005409,5.08E-05,0.000167,1.96E-05,8.61E-05
1/30/1991,0.000142,0.005002,5.02E-05,0.000156,1.89E-05,8.23E-05
1/31/1991,0.000148,0.004647,5.00E-05,0.000153,1.93E-05,7.92E-05
2/01/1991,0.000139,0.004279,4.93E-05,0.000143,1.86E-05,7.55E-05
2/04/1991,0.000132,0.003927,4.87E-05,0.000133,1.80E-05,7.19E-05
2/05/1991,0.000123,0.003604,5.34E-05,0.000123,1.82E-05,7.21E-05
2/06/1991,0.000118,0.003310,5.27E-05,0.000116,1.77E-05,6.86E-05
2/07/1991,0.000112,0.003068,5.19E-05,0.000108,1.71E-05,6.56E-05
2/08/1991,0.000113,0.002815,5.32E-05,0.000104,1.74E-05,6.36E-05
2/11/1991,0.000120,0.002583,5.79E-05,0.000103,1.87E-05,6.36E-05
2/12/1991,0.000124,0.002385,5.68E-05,0.000101,1.88E-05,6.05E-05
2/13/1991,0.000116,0.002192,5.61E-05,9.34E-05,1.81E-05,5.76E-05
2/14/1991,0.000112,0.002026,5.88E-05,8.80E-05,1.82E-05,5.67E-05
2/15/1991,0.000106,0.001894,6.01E-05,8.29E-05,1.79E-05,5.55E-05
2/20/1991,0.000103,0.001926,5.88E-05,8.25E-05,1.75E-05,5.53E-05
2/21/1991,9.73E-05,0.001776,5.78E-05,7.69E-05,1.68E-05,5.26E-05
2/22/1991,9.60E-05,0.001819,6.20E-05,7.73E-05,1.73E-05,5.52E-05
2/25/1991,0.000100,0.001682,6.32E-05,7.59E-05,1.78E-05,5.36E-05
2/26/1991,9.93E-05,0.001549,6.16E-05,7.26E-05,1.75E-05,5.08E-05
2/27/1991,9.56E-05,0.001441,6.19E-05,6.87E-05,1.72E-05,4.91E-05
2/28/1991,9.74E-05,0.001361,6.09E-05,6.74E-05,1.73E-05,4.73E-05
3/01/1991,0.000135,0.001291,6.68E-05,7.71E-05,2.13E-05,4.83E-05
3/04/1991,0.000125,0.001189,6.55E-05,7.14E-05,2.03E-05,4.58E-05
3/05/1991,0.000117,0.001143,6.38E-05,6.76E-05,1.94E-05,4.44E-05
3/06/1991,0.000116,0.001052,6.67E-05,6.47E-05,1.97E-05,4.35E-05
3/07/1991,0.000110,0.000988,6.69E-05,6.10E-05,1.92E-05,4.22E-05
3/08/1991,0.000107,0.000916,6.52E-05,5.79E-05,1.87E-05,4.02E-05
3/11/1991,0.000137,0.000845,6.35E-05,6.30E-05,2.09E-05,3.81E-05
3/12/1991,0.000136,0.000791,6.65E-05,6.06E-05,2.13E-05,3.77E-05
3/13/1991,0.000134,0.000782,6.61E-05,6.00E-05,2.11E-05,3.74E-05
