Date,Rf
02/01/1990,8.09
03/01/1990,8.21
05/01/1990,8.56
06/01/1990,8.06
08/01/1990,7.63
10/01/1990,7.63
11/01/1990,7.32
01/02/1990,7.81
02/02/1990,8.13
03/02/1990,8.22
04/02/1990,8.34
05/02/1990,8.63
07/02/1990,8.06
08/02/1990,7.7
10/02/1990,7.61
11/02/1990,7.35
01/03/1990,7.85
04/03/1990,8.32
05/03/1990,8.62
07/03/1990,8.01
08/03/1990,7.56
10/03/1990,7.57
12/03/1990,7.31
01/04/1990,7.82
04/04/1990,8.27
05/04/1990,8.43
06/04/1990,8.07
09/04/1990,7.76
10/04/1990,7.56
12/04/1990,7.25
01/05/1990,7.79
02/05/1990,8.15
03/05/1990,8.31
04/05/1990,8.28
06/05/1990,8.09
07/05/1990,8.02
09/05/1990,7.74
10/05/1990,7.51
11/05/1990,7.33
12/05/1990,7.24
02/06/1990,8.15
03/06/1990,8.31
04/06/1990,8.26
06/06/1990,8.09
07/06/1990,8.14
08/06/1990,7.63
09/06/1990,7.74
11/06/1990,7.36
12/06/1990,7.27
02/07/1990,8.17
03/07/1990,8.29
05/07/1990,8.44
06/07/1990,8.07
08/07/1990,7.75
09/07/1990,7.73
11/07/1990,7.36
12/07/1990,7.12
01/08/1990,7.81
02/08/1990,8.13
03/08/1990,8.35
05/08/1990,8.4
06/08/1990,8.07
08/08/1990,7.73
11/08/1990,7.35
01/09/1990,7.78
02/09/1990,8.03
03/09/1990,8.46
04/09/1990,8.29
05/09/1990,8.4
07/09/1990,8.19
08/09/1990,7.72
10/09/1990,7.64
11/09/1990,7.33
01/10/1990,7.77
04/10/1990,8.29
05/10/1990,8.33
07/10/1990,8.21
08/10/1990,7.67
09/10/1990,7.79
10/10/1990,7.64
12/10/1990,7.1
01/11/1990,7.77
04/11/1990,8.28
05/11/1990,8.21
06/11/1990,8.09
07/11/1990,8.18
09/11/1990,7.81
10/11/1990,7.6
12/11/1990,7.07
01/12/1990,7.76
02/12/1990,8.06
03/12/1990,8.44
04/12/1990,8.29
06/12/1990,8.09
07/12/1990,7.98
09/12/1990,7.75
10/12/1990,7.59
12/12/1990,7.03
02/01/1991,6.27
03/01/1991,6.52
04/01/1991,6.27
05/01/1991,6.09
07/01/1991,6.38
08/01/1991,6.23
10/01/1991,5.42
11/01/1991,5.03
01/02/1991,6.74
04/02/1991,6.26
05/02/1991,6.06
07/02/1991,6.41
08/02/1991,6.04
10/02/1991,5.43
12/02/1991,4.68
01/03/1991,6.72
04/03/1991,6.28
05/03/1991,6.1
06/03/1991,6.27
07/03/1991,6.39
09/03/1991,5.72
10/03/1991,5.39
12/03/1991,4.64
01/04/1991,6.83
02/04/1991,6.24
03/04/1991,6.51
04/04/1991,6.24
06/04/1991,6.26
09/04/1991,5.71
10/04/1991,5.35
11/04/1991,5.02
12/04/1991,4.59
02/05/1991,6.23
03/05/1991,6.48
04/05/1991,6.24
06/05/1991,6.28
07/05/1991,6.4
08/05/1991,6.04
09/05/1991,5.71
11/05/1991,5.07
12/05/1991,4.6
02/06/1991,6.22
03/06/1991,6.5
05/06/1991,6.11
06/06/1991,6.29
08/06/1991,5.91
09/06/1991,5.65
11/06/1991,4.98
12/06/1991,4.53
01/07/1991,6.84
02/07/1991,6.23
03/07/1991,6.5
05/07/1991,6.15
06/07/1991,6.39
08/07/1991,5.85
10/07/1991,5.35
11/07/1991,4.96
01/08/1991,6.75
02/08/1991,6.21
03/08/1991,6.41
04/08/1991,6.21
05/08/1991,6.14
07/08/1991,6.36
08/08/1991,5.82
10/08/1991,5.35
11/08/1991,4.96
01/09/1991,6.68
04/09/1991,6.23
05/09/1991,6.13
07/09/1991,6.31
08/09/1991,5.8
09/09/1991,5.61
10/09/1991,5.36
12/09/1991,4.44
01/10/1991,6.64
04/10/1991,6.28
05/10/1991,6.13
06/10/1991,6.4
07/10/1991,6.28
09/10/1991,5.61
10/10/1991,5.4
12/10/1991,4.47
01/11/1991,6.62
02/11/1991,6.18
03/11/1991,6.37
04/11/1991,6.23
06/11/1991,6.39
07/11/1991,6.27
09/11/1991,5.61
10/11/1991,5.33
12/11/1991,4.46
02/12/1991,6.18
03/12/1991,6.38
04/12/1991,6.14
06/12/1991,6.43
07/12/1991,6.26
08/12/1991,5.8
09/12/1991,5.56
11/12/1991,4.98
12/12/1991,4.42
04/01/1992,4.48
05/01/1992,4.28
06/01/1992,4.32
07/01/1992,4.04
09/01/1992,3.45
10/01/1992,2.96
12/01/1992,3.86
01/02/1992,4.13
03/02/1992,4.5
04/02/1992,4.53
06/02/1992,4.3
07/02/1992,3.7
09/02/1992,3.43
10/02/1992,2.98
11/02/1992,3.62
12/02/1992,3.84
01/03/1992,4.16
02/03/1992,4.23
03/03/1992,4.51
04/03/1992,4.4
06/03/1992,4.27
08/03/1992,3.61
09/03/1992,3.43
11/03/1992,3.57
12/03/1992,3.83
02/04/1992,4.21
03/04/1992,4.52
05/04/1992,4.28
06/04/1992,4.26
08/04/1992,3.57
09/04/1992,3.18
11/04/1992,3.56
12/04/1992,3.73
02/05/1992,4.21
03/05/1992,4.63
05/05/1992,4.27
06/05/1992,4.21
08/05/1992,3.55
10/05/1992,2.98
11/05/1992,3.54
01/06/1992,4.12
02/06/1992,4.2
03/06/1992,4.6
04/06/1992,4.39
05/06/1992,4.22
07/06/1992,3.67
08/06/1992,3.54
10/06/1992,3.05
11/06/1992,3.6
01/07/1992,4.03
02/07/1992,4.1
04/07/1992,4.35
05/07/1992,4.26
07/07/1992,3.63
08/07/1992,3.44
10/07/1992,3.15
12/07/1992,3.69
01/08/1992,4
04/08/1992,4.32
05/08/1992,4.22
06/08/1992,4.2
07/08/1992,3.63
09/08/1992,3.14
10/08/1992,3.08
12/08/1992,3.66
01/09/1992,4.05
03/09/1992,4.55
04/09/1992,4.08
06/09/1992,4.2
07/09/1992,3.63
09/09/1992,3.17
10/09/1992,3.19
11/09/1992,3.66
12/09/1992,3.69
01/10/1992,4.11
02/10/1992,4.08
03/10/1992,4.58
04/10/1992,4.12
06/10/1992,4.2
07/10/1992,3.62
08/10/1992,3.42
09/10/1992,3.17
11/10/1992,3.62
12/10/1992,3.72
02/11/1992,4.14
03/11/1992,4.6
05/11/1992,4.18
06/11/1992,4.18
08/11/1992,3.43
09/11/1992,3.19
12/11/1992,3.82
02/12/1992,4.16
03/12/1992,4.69
05/12/1992,4.15
06/12/1992,4.14
08/12/1992,3.45
11/12/1992,3.59
02/01/1993,3.4
03/01/1993,3.3
04/01/1993,3.32
06/01/1993,3.55
07/01/1993,3.41
09/01/1993,3.36
10/01/1993,3.35
11/01/1993,3.53
12/01/1993,3.62
02/02/1993,3.43
03/02/1993,3.31
04/02/1993,3.32
06/02/1993,3.56
07/02/1993,3.34
08/02/1993,3.58
09/02/1993,3.34
11/02/1993,3.59
12/02/1993,3.62
02/03/1993,3.44
03/03/1993,3.28
05/03/1993,3.22
06/03/1993,3.53
08/03/1993,3.56
09/03/1993,3.25
11/03/1993,3.56
12/03/1993,3.62
01/04/1993,3.56
02/04/1993,3.44
03/04/1993,3.24
05/04/1993,3.23
06/04/1993,3.67
08/04/1993,3.57
10/04/1993,3.35
11/04/1993,3.55
01/05/1993,3.58
02/05/1993,3.36
03/05/1993,3.37
04/05/1993,3.3
05/05/1993,3.26
08/05/1993,3.54
10/05/1993,3.38
11/05/1993,3.58
01/06/1993,3.62
04/06/1993,3.35
05/06/1993,3.22
07/06/1993,3.42
08/06/1993,3.52
10/06/1993,3.36
12/06/1993,3.57
01/07/1993,3.7
04/07/1993,3.33
05/07/1993,3.23
06/07/1993,3.65
07/07/1993,3.43
09/07/1993,3.26
10/07/1993,3.35
12/07/1993,3.6
01/08/1993,3.56
02/08/1993,3.43
03/08/1993,3.39
04/08/1993,3.25
06/08/1993,3.66
07/08/1993,3.42
09/08/1993,3.32
10/08/1993,3.33
11/08/1993,3.55
12/08/1993,3.6
02/09/1993,3.47
03/09/1993,3.41
06/09/1993,3.62
07/09/1993,3.41
08/09/1993,3.48
09/09/1993,3.37
11/09/1993,3.54
12/09/1993,3.6
02/10/1993,3.5
03/10/1993,3.4
05/10/1993,3.22
06/10/1993,3.62
08/10/1993,3.51
09/10/1993,3.32
11/10/1993,3.56
12/10/1993,3.62
01/11/1993,3.54
02/11/1993,3.44
03/11/1993,3.35
05/11/1993,3.23
06/11/1993,3.51
08/11/1993,3.5
01/12/1993,3.54
02/12/1993,3.43
03/12/1993,3.39
04/12/1993,3.23
05/12/1993,3.26
07/12/1993,3.4
08/12/1993,3.47
10/12/1993,3.36
11/12/1993,3.54
02/01/1994,3.6
03/01/1994,4.16
06/01/1994,5.36
07/01/1994,5.5
08/01/1994,5.4
09/01/1994,5.56
11/01/1994,6.25
12/01/1994,6.94
02/02/1994,3.61
03/02/1994,4.15
05/02/1994,5.12
06/02/1994,5.29
08/02/1994,5.35
09/02/1994,5.55
11/02/1994,6.28
12/02/1994,7.01
01/03/1994,3.67
02/03/1994,3.73
03/03/1994,4.21
05/03/1994,5.19
06/03/1994,5.22
08/03/1994,5.34
10/03/1994,6.06
11/03/1994,6.31
01/04/1994,3.65
02/04/1994,3.84
03/04/1994,4.26
04/04/1994,4.83
05/04/1994,5.22
08/04/1994,5.36
10/04/1994,6.06
11/04/1994,6.39
01/05/1994,3.66
04/05/1994,4.72
05/05/1994,5.21
07/05/1994,5.48
08/05/1994,5.59
10/05/1994,6.1
12/05/1994,7.15
01/06/1994,3.65
