,"Cor(METAL,ENERGY)","Cor(METAL,AGRICULTURAL)","Cor(ENERGY,AGRICULTURAL)"
1/04/1991,0.747083,0.582426,0.170227
1/07/1991,0.753069,0.569161,0.161893
1/08/1991,0.739009,0.561759,0.176315
1/09/1991,0.736683,0.556725,0.179533
1/10/1991,0.748639,0.555109,0.183578
1/11/1991,0.761046,0.542891,0.182710
1/14/1991,0.767570,0.527748,0.187528
1/15/1991,0.727587,0.521560,0.170401
1/16/1991,0.737618,0.513731,0.172364
1/17/1991,0.735617,0.508522,0.180588
1/18/1991,0.521286,0.395859,-0.002277
1/21/1991,0.526266,0.396475,0.001243
1/22/1991,0.533127,0.394480,-0.001382
1/23/1991,0.520381,0.395739,-0.005452
1/24/1991,0.530487,0.394866,-0.000577
1/25/1991,0.511136,0.373116,-7.84E-05
1/28/1991,0.505985,0.376892,-0.001043
1/29/1991,0.515098,0.377710,0.000158
1/30/1991,0.524371,0.374119,-0.001207
1/31/1991,0.531524,0.375147,0.002610
2/01/1991,0.540943,0.371849,0.002148
2/04/1991,0.547322,0.371716,0.002334
2/05/1991,0.556991,0.343691,-0.000528
2/06/1991,0.565776,0.345708,0.000797
2/07/1991,0.568473,0.343340,0.002837
2/08/1991,0.570785,0.315535,0.003701
2/11/1991,0.570092,0.326679,0.005749
2/12/1991,0.560936,0.325731,0.005462
2/13/1991,0.569131,0.327233,0.004925
2/14/1991,0.570794,0.327990,-0.000851
2/15/1991,0.569597,0.329126,-0.008304
2/20/1991,0.568887,0.329722,-0.006081
2/21/1991,0.576422,0.331709,-0.006804
2/22/1991,0.575919,0.334011,0.021513
2/25/1991,0.582676,0.341932,0.027336
2/26/1991,0.590175,0.341005,0.028554
2/27/1991,0.599827,0.344049,0.034521
2/28/1991,0.608681,0.331824,0.030696
3/01/1991,0.602225,0.354394,0.046577
3/04/1991,0.611411,0.354861,0.048997
3/05/1991,0.608766,0.356563,0.051844
3/06/1991,0.610930,0.321483,0.052576
3/07/1991,0.609681,0.324229,0.046879
3/08/1991,0.608871,0.326198,0.047732
3/11/1991,0.575843,0.305841,0.049876
3/12/1991,0.584166,0.314345,0.058962
3/13/1991,0.550260,0.295726,0.070101
3/14/1991,0.541965,0.296125,0.070072
3/15/1991,0.551030,0.294148,0.071112
3/18/1991,0.508884,0.284709,0.089404
3/19/1991,0.509635,0.289251,0.094128
3/20/1991,0.512377,0.283699,0.086185
3/21/1991,0.520592,0.275901,0.082340
